StichtagDatJahr,QuarSort,QuarCd,QuarLang,KreisSort,WegOrtSort,WegOrtLang,WegBezirkSort,WegBezirkLang,WegKtSort,WegKtLang,WegLandSort,WegLandLang,WegRegionSort,WegRegionLang,WegKontinentSort,WegKontinentLang,AnzWezuWir
2014,51,051,"Gewerbeschule",5,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,51,051,"Gewerbeschule",5,158,"Stäfa",107,"Bezirk Meilen",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,31,031,"Alt-Wiedikon",3,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",6
2014,101,101,"Höngg",10,248,"Uitikon",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",9
2014,14,014,"City",1,121,"Wetzikon (ZH)",105,"Bezirk Hinwil",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,102,102,"Wipkingen",10,14,"Wettswil am Albis",101,"Bezirk Affoltern",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,91,091,"Albisrieden",9,14,"Wettswil am Albis",101,"Bezirk Affoltern",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",6
2014,92,092,"Altstetten",9,101,"Steinmaur",104,"Bezirk Dielsdorf",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,41,041,"Werd",4,14,"Wettswil am Albis",101,"Bezirk Affoltern",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,44,044,"Hard",4,248,"Uitikon",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
